temperature,humidity,humidity_change,temperature_change,elapsed_time,label
33.11,72.84,0.006,-0.032,114,0
33.14,72.68,-0.161,0.033,115,0
33.14,72.56,-0.123,0.004,116,0
33.13,72.55,-0.011,-0.014,117,0
33.13,72.53,-0.021,-0.003,118,0
33.09,72.61,0.084,-0.035,119,0
33.06,72.63,0.018,-0.032,120,0
33.07,72.55,-0.078,0.012,121,0
33.05,72.45,-0.107,-0.024,122,0
33.0,72.48,0.029,-0.048,123,0
33.04,72.42,-0.059,0.044,124,0
33.0,72.52,0.102,-0.048,125,0
32.97,72.39,-0.133,-0.029,126,0
33.0,72.47,0.083,0.033,127,0
32.98,72.54,0.067,-0.019,128,0
33.01,72.39,-0.149,0.028,129,0
33.01,72.4,0.015,0.006,130,0
33.02,72.5,0.1,0.01,131,0
33.05,72.31,-0.194,0.026,132,0
33.06,72.2,-0.107,0.011,133,0
33.02,72.29,0.085,-0.042,134,0
32.97,72.12,-0.162,-0.045,135,0
32.95,72.09,-0.031,-0.028,136,0
32.96,72.08,-0.015,0.016,137,0
32.97,71.94,-0.135,0.008,138,0
32.96,71.83,-0.117,-0.007,139,0
32.99,71.9,0.075,0.029,140,0
32.98,71.73,-0.169,-0.013,141,0
32.92,71.62,-0.113,-0.055,142,0
32.93,71.65,0.035,0.008,143,0
32.95,71.54,-0.118,0.019,144,0
32.94,71.51,-0.031,-0.013,145,0
32.89,71.31,-0.194,-0.048,146,0
32.93,71.38,0.068,0.035,147,0
32.95,71.35,-0.033,0.028,148,0
32.91,71.33,-0.022,-0.041,149,0
32.89,71.17,-0.158,-0.025,150,0
32.91,71.24,0.073,0.024,151,0
32.95,71.3,0.062,0.034,152,0
32.92,71.17,-0.133,-0.031,153,0
32.94,71.0,-0.166,0.022,154,0
32.92,71.07,0.069,-0.015,155,0
32.88,71.06,-0.01,-0.04,156,0
32.91,71.14,0.082,0.031,157,0
32.94,71.24,0.096,0.026,158,0
32.89,71.31,0.068,-0.053,159,0
32.86,71.33,0.024,-0.022,160,0
32.89,71.42,0.083,0.025,161,0
32.91,71.48,0.063,0.026,162,0
32.94,71.36,-0.116,0.023,163,0
32.97,71.2,-0.164,0.032,164,0
32.94,71.26,0.061,-0.033,165,0
32.93,71.31,0.048,-0.01,166,0
32.95,71.2,-0.105,0.024,167,0
32.9,71.07,-0.128,-0.053,168,0
32.87,70.94,-0.139,-0.023,169,0
32.92,71.0,0.063,0.041,170,0
32.92,70.89,-0.113,0.009,171,0
32.97,70.81,-0.077,0.043,172,0
33.01,70.77,-0.036,0.038,173,0
33.05,70.61,-0.162,0.042,174,0
33.09,70.47,-0.143,0.041,175,0
33.04,70.35,-0.117,-0.045,176,0
33.06,70.29,-0.066,0.017,177,0
33.07,70.18,-0.102,0.005,178,0
33.05,70.14,-0.043,-0.017,179,0
33.02,70.12,-0.024,-0.03,180,0
32.96,70.13,0.016,-0.055,181,0
32.96,70.21,0.081,-0.002,182,0
32.98,70.23,0.019,0.019,183,0
32.96,70.24,0.005,-0.019,184,0
32.97,70.06,-0.176,0.011,185,0
32.95,69.96,-0.097,-0.024,186,0
32.96,70.02,0.058,0.016,187,0
32.94,69.92,-0.106,-0.025,188,0
32.92,69.84,-0.074,-0.015,189,0
32.88,69.73,-0.108,-0.043,190,0
32.92,69.66,-0.07,0.039,191,0
32.95,69.67,0.007,0.035,192,0
32.93,69.66,-0.012,-0.025,193,0
32.87,69.63,-0.032,-0.055,194,0
32.86,69.52,-0.11,-0.013,195,0
32.87,69.49,-0.023,0.01,196,0
32.86,69.44,-0.057,-0.011,197,0
32.85,69.3,-0.132,-0.008,198,0
32.88,69.38,0.074,0.024,199,0
32.83,69.23,-0.146,-0.047,200,0
32.84,69.19,-0.042,0.008,201,0
32.86,69.09,-0.096,0.026,202,0
32.87,69.12,0.029,0.012,203,0
32.84,68.99,-0.129,-0.036,204,0
32.81,68.81,-0.189,-0.031,205,0
32.84,68.75,-0.054,0.029,206,0
32.82,68.58,-0.175,-0.014,207,0
32.79,68.57,-0.008,-0.036,208,0
32.78,68.58,0.012,-0.006,209,0
32.79,68.46,-0.123,0.01,210,0
32.81,68.26,-0.195,0.02,211,0
32.77,68.3,0.035,-0.045,212,0
32.73,68.23,-0.069,-0.038,213,0
32.72,68.32,0.091,-0.004,214,0
32.69,68.14,-0.181,-0.031,215,0
32.68,68.2,0.058,-0.01,216,0
32.69,68.24,0.044,0.011,217,0
32.7,68.34,0.1,0.004,218,0
32.73,68.43,0.089,0.034,219,0
32.75,68.42,-0.013,0.016,220,0
32.78,68.37,-0.045,0.028,221,0
32.81,68.34,-0.032,0.034,222,0
32.8,68.37,0.027,-0.008,223,0
32.77,68.25,-0.119,-0.031,224,0
32.79,68.24,-0.005,0.021,225,0
32.8,68.2,-0.04,0.007,226,0
32.75,68.09,-0.114,-0.048,227,0
32.72,67.98,-0.111,-0.028,228,0
32.72,67.88,-0.101,-0.002,229,0
32.69,67.72,-0.155,-0.032,230,0
32.7,67.73,0.012,0.015,231,0
32.69,67.56,-0.177,-0.015,232,0
32.68,67.52,-0.034,-0.014,233,0
32.66,67.39,-0.134,-0.014,234,0
32.67,67.46,0.075,0.003,235,0
32.7,67.47,0.012,0.03,236,0
32.68,67.51,0.033,-0.017,237,0
32.66,67.31,-0.195,-0.02,238,0
32.69,67.34,0.03,0.03,239,0
32.67,67.43,0.09,-0.014,240,0
32.67,67.46,0.028,-0.001,241,0
32.64,67.44,-0.016,-0.033,242,0
32.63,67.31,-0.131,-0.012,243,0
32.61,67.13,-0.188,-0.022,244,0
32.59,67.13,0.007,-0.015,245,0
32.58,66.99,-0.147,-0.009,246,0
32.59,66.83,-0.158,0.007,247,0
32.57,66.64,-0.188,-0.016,248,0
32.52,66.61,-0.027,-0.053,249,0
32.48,66.61,-0.004,-0.042,250,0
32.43,66.55,-0.058,-0.051,251,0
32.39,66.47,-0.083,-0.034,252,0
32.41,66.37,-0.098,0.021,253,0
32.43,66.29,-0.083,0.02,254,0
32.4,66.34,0.053,-0.03,255,0
32.35,66.17,-0.172,-0.054,256,0
32.39,66.13,-0.035,0.044,257,0
32.4,66.04,-0.092,0.009,258,0
32.41,66.08,0.038,0.01,259,0
32.45,66.11,0.03,0.039,260,0
32.4,65.97,-0.137,-0.053,261,0
32.36,65.82,-0.151,-0.043,262,0
32.36,65.83,0.004,0.001,263,0
32.37,65.69,-0.131,0.014,264,0
32.33,65.73,0.034,-0.039,265,0
32.35,65.71,-0.014,0.019,266,0
32.38,65.55,-0.162,0.026,267,0
32.33,65.64,0.093,-0.045,268,0
32.31,65.46,-0.189,-0.024,269,0
32.35,65.46,0.007,0.04,270,0
32.36,65.39,-0.078,0.016,271,0
32.38,65.21,-0.174,0.014,272,0
32.33,65.2,-0.008,-0.045,273,0
32.36,65.24,0.035,0.029,274,0
32.32,65.22,-0.016,-0.043,275,0
32.34,65.32,0.099,0.023,276,0
32.33,65.23,-0.092,-0.013,277,0
32.32,65.14,-0.085,-0.005,278,0
32.35,65.05,-0.094,0.029,279,0
32.31,65.1,0.05,-0.045,280,0
32.32,65.19,0.092,0.008,281,0
32.33,65.24,0.052,0.015,282,0
32.35,65.18,-0.066,0.018,283,0
32.32,65.27,0.093,-0.029,284,0
32.32,65.32,0.046,-0.002,285,0
32.31,65.26,-0.051,-0.012,286,0
32.28,65.29,0.023,-0.029,287,0
32.31,65.35,0.059,0.028,288,0
32.34,65.18,-0.171,0.033,289,0
32.33,65.05,-0.123,-0.009,290,0
32.31,65.04,-0.013,-0.018,291,0
32.34,64.85,-0.188,0.03,292,0
32.31,64.71,-0.142,-0.034,293,0
32.29,64.75,0.043,-0.022,294,0
32.3,64.82,0.068,0.015,295,0
32.25,64.71,-0.114,-0.055,296,0
32.2,64.79,0.088,-0.047,297,0
32.19,64.81,0.02,-0.007,298,0
32.21,64.84,0.031,0.014,299,0
32.2,64.84,-0.003,-0.006,300,0
32.15,64.88,0.041,-0.046,301,0
32.17,64.75,-0.13,0.014,302,0
32.17,64.65,-0.105,0.003,303,0
32.17,64.59,-0.055,-0.002,304,0
32.19,64.53,-0.069,0.019,305,0
32.2,64.43,-0.097,0.015,306,0
32.17,64.31,-0.115,-0.03,307,0
32.13,64.15,-0.16,-0.036,308,0
32.13,63.99,-0.161,-0.002,309,0
32.09,64.02,0.032,-0.037,310,0
32.09,63.89,-0.132,-0.007,311,0
32.13,63.91,0.021,0.042,312,0
32.1,63.87,-0.039,-0.027,313,0
32.07,63.71,-0.166,-0.036,314,0
32.03,63.58,-0.128,-0.038,315,0
32.03,63.39,-0.192,-0.002,316,0
32.07,63.27,-0.114,0.042,317,0
32.08,63.24,-0.03,0.014,318,0
32.11,63.08,-0.159,0.031,319,0
32.15,63.03,-0.049,0.032,320,0
32.14,63.01,-0.024,-0.009,321,0
32.1,62.95,-0.064,-0.037,322,0
32.14,62.76,-0.181,0.039,323,0
32.17,62.71,-0.053,0.027,324,0
32.12,62.64,-0.076,-0.048,325,0
32.07,62.63,-0.008,-0.05,326,0
32.07,62.48,-0.152,0.001,327,0
32.11,62.37,-0.105,0.044,328,0
32.13,62.21,-0.161,0.021,329,0
32.16,62.2,-0.015,0.024,330,0
32.15,62.07,-0.129,-0.003,331,0
32.14,62.0,-0.061,-0.011,332,0
32.19,62.07,0.062,0.043,333,0
32.19,61.96,-0.105,0.007,334,0
32.21,61.95,-0.014,0.018,335,0
32.18,62.04,0.088,-0.035,336,0
32.19,61.9,-0.133,0.011,337,0
32.15,61.75,-0.149,-0.038,338,0
32.09,61.58,-0.174,-0.055,339,0
32.1,61.52,-0.061,0.004,340,0
32.06,61.41,-0.109,-0.032,341,0
32.08,61.42,0.016,0.015,342,0
32.09,61.36,-0.06,0.013,343,0
32.12,61.44,0.081,0.023,344,0
32.13,61.44,-0.009,0.011,345,0
32.11,61.52,0.084,-0.013,346,0
32.12,61.49,-0.033,0.009,347,0
32.15,61.56,0.076,0.027,348,0
32.11,61.39,-0.175,-0.039,349,0
32.13,61.28,-0.104,0.019,350,0
32.1,61.26,-0.026,-0.027,351,0
32.12,61.1,-0.159,0.013,352,0
32.16,61.11,0.013,0.039,353,0
32.15,61.07,-0.046,-0.006,354,0
32.1,60.89,-0.172,-0.052,355,0
32.07,60.83,-0.067,-0.023,356,0
32.03,60.7,-0.121,-0.046,357,0
32.06,60.8,0.092,0.028,358,0
32.1,60.77,-0.024,0.04,359,0
32.11,60.88,0.103,0.012,360,0
32.06,60.76,-0.116,-0.052,361,0
32.05,60.79,0.03,-0.008,362,0
32.08,60.79,-0.001,0.036,363,0
32.09,60.65,-0.142,0.003,364,0
32.08,60.64,-0.006,-0.006,365,0
32.06,60.47,-0.169,-0.021,366,0
32.07,60.38,-0.097,0.011,367,0
32.05,60.44,0.061,-0.023,368,0
32.02,60.45,0.012,-0.027,369,0
32.05,60.54,0.087,0.026,370,0
32.04,60.5,-0.031,-0.01,371,0
32.01,60.4,-0.102,-0.023,372,0
32.0,60.5,0.095,-0.015,373,0
32.04,60.45,-0.042,0.043,374,0
32.04,60.45,0.001,-0.001,375,0
32.0,60.38,-0.073,-0.037,376,0
32.02,60.29,-0.088,0.02,377,0
32.04,60.29,-0.009,0.02,378,0
32.04,60.15,-0.135,-0.001,379,0
32.03,60.23,0.082,-0.012,380,0
31.99,60.24,0.013,-0.043,381,0
31.99,60.34,0.095,0.005,382,0
31.95,60.22,-0.125,-0.04,383,0
31.95,60.18,-0.031,-0.0,384,0
32.0,60.02,-0.169,0.044,385,0
31.99,60.09,0.077,-0.009,386,0
32.02,59.93,-0.161,0.028,387,0
32.03,59.88,-0.047,0.016,388,0
32.0,59.84,-0.044,-0.028,389,0
32.05,59.9,0.054,0.042,390,0
32.05,59.77,-0.123,-0.0,391,0
32.08,59.69,-0.081,0.037,392,0
32.11,59.65,-0.044,0.032,393,0
32.09,59.71,0.063,-0.028,394,0
32.07,59.75,0.041,-0.014,395,0
32.07,59.83,0.084,-0.005,396,0
32.04,59.88,0.05,-0.027,397,0
32.04,59.78,-0.107,0.003,398,0
32.04,59.88,0.103,-0.007,399,0
32.04,59.73,-0.152,-0.002,400,0
32.04,59.63,-0.093,-0.0,401,0
32.03,59.6,-0.033,-0.01,402,0
31.99,59.5,-0.1,-0.037,403,0
31.99,59.51,0.013,0.002,404,0
32.01,59.39,-0.126,0.022,405,0
32.03,59.2,-0.183,0.019,406,0
32.06,59.22,0.015,0.026,407,0
32.07,59.14,-0.081,0.011,408,0
32.11,59.19,0.05,0.043,409,0
32.06,59.14,-0.048,-0.052,410,0
32.06,59.09,-0.046,0.003,411,0
32.09,59.16,0.064,0.032,412,0
32.09,59.09,-0.064,-0.003,413,0
32.11,59.03,-0.059,0.017,414,0
32.12,58.96,-0.074,0.01,415,0
32.11,58.81,-0.15,-0.009,416,0
32.09,58.91,0.094,-0.022,417,0
32.1,58.92,0.011,0.009,418,0
32.13,58.98,0.059,0.03,419,0
32.11,59.04,0.061,-0.018,420,0
32.13,58.94,-0.102,0.016,421,0
32.16,58.97,0.031,0.032,422,0
32.11,58.78,-0.186,-0.049,423,0
32.14,58.77,-0.007,0.037,424,0
32.16,58.88,0.103,0.019,425,0
32.12,58.81,-0.066,-0.046,426,0
32.15,58.8,-0.006,0.032,427,0
32.16,58.74,-0.063,0.014,428,0
32.11,58.81,0.075,-0.051,429,0
32.09,58.86,0.042,-0.026,430,0
32.05,58.77,-0.084,-0.041,431,0
32.05,58.74,-0.037,0.001,432,0
32.01,58.78,0.041,-0.039,433,0
32.04,58.6,-0.173,0.032,434,0
32.01,58.59,-0.011,-0.031,435,0
31.97,58.67,0.077,-0.041,436,0
31.94,58.61,-0.058,-0.03,437,0
31.88,58.49,-0.12,-0.055,438,0
31.92,58.54,0.045,0.035,439,0
31.88,58.54,0.007,-0.04,440,0
31.86,58.48,-0.064,-0.021,441,0
31.86,58.46,-0.02,0.008,442,0
31.83,58.39,-0.069,-0.031,443,0
31.8,58.45,0.057,-0.036,444,0
31.79,58.37,-0.081,-0.007,445,0
31.79,58.24,-0.125,0.002,446,0
31.84,58.22,-0.024,0.044,447,0
31.88,58.11,-0.108,0.042,448,0
31.85,58.11,0.001,-0.028,449,0
31.86,58.08,-0.027,0.013,450,0
31.81,58.11,0.027,-0.051,451,0
31.81,58.1,-0.015,-0.006,452,0
31.78,58.17,0.075,-0.027,453,0
31.79,58.21,0.043,0.005,454,0
31.79,58.12,-0.091,0.008,455,0
31.81,58.11,-0.01,0.012,456,0
31.82,58.13,0.02,0.01,457,0
31.82,58.19,0.055,0.007,458,0
31.83,58.26,0.075,0.009,459,0
31.82,58.16,-0.104,-0.011,460,0
31.84,58.14,-0.023,0.018,461,0
31.81,57.97,-0.169,-0.026,462,0
31.78,57.99,0.028,-0.038,463,0
31.77,57.84,-0.157,-0.002,464,0
31.77,57.93,0.095,-0.002,465,0
31.8,58.01,0.078,0.028,466,0
31.83,57.89,-0.119,0.027,467,0
31.85,57.84,-0.052,0.025,468,0
31.83,57.87,0.027,-0.022,469,0
31.87,57.7,-0.162,0.041,470,0
31.91,57.55,-0.154,0.041,471,0
31.93,57.61,0.062,0.017,472,0
31.97,57.71,0.097,0.041,473,0
31.95,57.75,0.045,-0.019,474,0
31.9,57.79,0.041,-0.054,475,0
31.89,57.76,-0.036,-0.01,476,0
31.9,57.76,0.005,0.012,477,0
31.92,57.74,-0.021,0.027,478,0
31.88,57.83,0.086,-0.045,479,0
31.83,57.7,-0.126,-0.053,480,0
31.83,57.77,0.069,0.001,481,0
31.79,57.85,0.078,-0.033,482,0
31.82,57.67,-0.178,0.027,483,0
31.8,57.75,0.076,-0.025,484,0
31.75,57.67,-0.074,-0.042,485,0
31.73,57.76,0.087,-0.025,486,0
31.68,57.71,-0.049,-0.046,487,0
31.64,57.78,0.07,-0.042,488,0
31.65,57.72,-0.06,0.012,489,0
31.69,57.75,0.026,0.039,490,0
31.71,57.68,-0.071,0.019,491,0
31.7,57.53,-0.15,-0.014,492,0
31.69,57.36,-0.167,-0.007,493,0
31.73,57.29,-0.074,0.04,494,0
31.71,57.1,-0.187,-0.018,495,0
31.75,57.04,-0.063,0.04,496,0
31.7,57.1,0.06,-0.046,497,0
31.7,57.11,0.009,-0.001,498,0
31.68,57.2,0.097,-0.02,499,0
31.65,57.13,-0.077,-0.037,500,0
31.68,56.97,-0.16,0.029,501,0
31.69,56.91,-0.06,0.011,502,0
31.69,56.9,-0.004,0.004,503,0
31.71,56.71,-0.19,0.023,504,0
31.67,56.59,-0.123,-0.043,505,0
31.62,56.56,-0.027,-0.049,506,0
31.59,56.59,0.033,-0.035,507,0
31.62,56.46,-0.132,0.031,508,0
31.58,56.36,-0.098,-0.041,509,0
31.52,56.44,0.074,-0.055,510,0
31.48,56.5,0.061,-0.041,511,0
31.45,56.34,-0.158,-0.03,512,0
31.46,56.2,-0.144,0.011,513,0
31.41,56.01,-0.189,-0.054,514,0
31.38,56.05,0.04,-0.032,515,0
31.34,55.95,-0.099,-0.038,516,0
31.36,55.77,-0.181,0.019,517,0
31.38,55.73,-0.039,0.019,518,0
31.4,55.68,-0.054,0.022,519,0
31.35,55.63,-0.043,-0.045,520,0
31.39,55.59,-0.045,0.039,521,0
31.42,55.41,-0.183,0.023,522,0
31.41,55.47,0.064,-0.003,523,0
31.45,55.41,-0.059,0.041,524,0
31.45,55.23,-0.178,-0.008,525,0
31.46,55.16,-0.076,0.013,526,0
31.49,55.11,-0.049,0.035,527,0
31.45,54.93,-0.174,-0.047,528,0
31.4,54.92,-0.014,-0.049,529,0
31.41,54.8,-0.114,0.008,530,0
31.38,54.77,-0.032,-0.023,531,0
31.38,54.87,0.102,-0.002,532,0
31.38,54.81,-0.06,0.005,533,0
31.4,54.65,-0.167,0.015,534,0
31.41,54.71,0.059,0.01,535,0
31.43,54.74,0.034,0.017,536,0
31.42,54.61,-0.132,-0.01,537,0
31.39,54.48,-0.128,-0.022,538,0
31.38,54.42,-0.06,-0.014,539,0
31.37,54.25,-0.168,-0.013,540,0
31.35,54.25,0.003,-0.018,541,0
31.39,54.1,-0.151,0.037,542,0
31.41,53.93,-0.176,0.028,543,0
31.37,53.76,-0.169,-0.046,544,0
31.39,53.78,0.025,0.026,545,0
31.4,53.75,-0.03,0.003,546,0
31.37,53.73,-0.028,-0.023,547,0
31.35,53.57,-0.16,-0.02,548,0
31.37,53.57,0.003,0.019,549,0
31.39,53.63,0.064,0.017,550,0
31.39,53.73,0.094,0.005,551,0
31.4,53.64,-0.091,0.002,552,0
31.41,53.5,-0.133,0.01,553,0
31.36,53.38,-0.129,-0.045,554,0
31.34,53.43,0.057,-0.019,555,0
31.34,53.46,0.032,0.002,556,0
31.37,53.51,0.046,0.029,557,0
31.4,53.61,0.096,0.026,558,0
31.41,53.59,-0.012,0.009,559,0
31.45,53.4,-0.189,0.037,560,0
31.42,53.46,0.052,-0.029,561,0
31.43,53.31,-0.142,0.015,562,0
31.41,53.21,-0.104,-0.022,563,0
31.44,53.02,-0.195,0.031,564,0
31.43,52.99,-0.027,-0.015,565,0
31.43,52.84,-0.154,0.008,566,0
31.45,52.65,-0.187,0.019,567,0
31.44,52.52,-0.132,-0.014,568,0
31.42,52.42,-0.094,-0.019,569,0
31.44,52.44,0.02,0.022,570,0
31.4,52.42,-0.026,-0.047,571,0
31.36,52.24,-0.181,-0.04,572,0
31.37,52.22,-0.011,0.012,573,0
31.38,52.11,-0.115,0.011,574,0
31.37,52.06,-0.051,-0.011,575,0
31.39,51.94,-0.115,0.02,576,0
31.37,51.78,-0.162,-0.013,577,0
31.39,51.67,-0.112,0.012,578,0
31.4,51.62,-0.051,0.011,579,0
31.38,51.44,-0.183,-0.016,580,0
31.33,51.42,-0.017,-0.055,581,0
31.29,51.31,-0.106,-0.034,582,0
31.26,51.16,-0.155,-0.03,583,0
31.21,51.06,-0.098,-0.055,584,0
31.17,51.09,0.028,-0.038,585,0
31.19,51.01,-0.082,0.015,586,0
31.21,50.96,-0.046,0.028,587,0
31.16,51.0,0.045,-0.048,588,0
31.11,51.07,0.062,-0.051,589,0
31.15,50.88,-0.191,0.037,590,0
31.15,50.94,0.062,0.002,591,0
31.17,50.91,-0.024,0.015,592,0
31.12,50.84,-0.071,-0.044,593,0
31.1,50.65,-0.19,-0.023,594,0
31.11,50.7,0.044,0.006,595,0
31.14,50.75,0.053,0.036,596,0
31.17,50.58,-0.17,0.029,597,0
31.18,50.46,-0.124,0.003,598,0
31.16,50.42,-0.039,-0.016,599,0
31.86,81.91,-0.166,-0.006,0,0
31.83,81.98,0.072,-0.022,1,0
31.86,82.0,0.018,0.025,2,0
31.83,82.04,0.045,-0.033,3,0
31.79,81.89,-0.156,-0.037,4,0
31.81,81.87,-0.019,0.019,5,0
31.77,81.86,-0.003,-0.039,6,0
31.76,81.9,0.032,-0.007,7,0
31.78,81.92,0.026,0.019,8,0
31.82,81.86,-0.065,0.036,9,0
31.82,81.83,-0.031,0.007,10,0
31.85,81.81,-0.013,0.03,11,0
31.81,81.8,-0.012,-0.042,12,0
31.8,81.62,-0.179,-0.012,13,0
31.77,81.51,-0.109,-0.029,14,0
31.77,81.33,-0.183,-0.006,15,0
31.75,81.22,-0.107,-0.011,16,0
31.78,81.04,-0.183,0.027,17,0
31.81,80.86,-0.177,0.03,18,0
31.82,80.92,0.057,0.005,19,0
31.81,80.87,-0.048,-0.01,20,0
31.83,80.84,-0.034,0.023,21,0
31.82,80.91,0.069,-0.012,22,0
31.82,80.95,0.043,0.009,23,0
31.82,80.85,-0.104,-0.009,24,0
31.76,80.69,-0.155,-0.05,25,0
31.8,80.52,-0.169,0.033,26,0
31.81,80.43,-0.097,0.015,27,0
31.77,80.38,-0.049,-0.039,28,0
31.76,80.25,-0.126,-0.013,29,0
31.76,80.18,-0.068,-0.004,30,0
31.74,80.03,-0.152,-0.019,31,0
31.72,79.92,-0.115,-0.016,32,0
31.72,79.82,-0.098,0.003,33,0
31.73,79.85,0.037,0.008,34,0
31.69,79.67,-0.18,-0.047,35,0
31.66,79.68,0.004,-0.028,36,0
31.67,79.7,0.017,0.009,37,0
31.7,79.77,0.072,0.031,38,0
31.7,79.67,-0.1,0.002,39,0
31.68,79.51,-0.158,-0.022,40,0
31.69,79.6,0.09,0.013,41,0
31.69,79.52,-0.082,0.003,42,0
31.67,79.6,0.081,-0.026,43,0
31.69,79.51,-0.087,0.023,44,0
31.7,79.56,0.044,0.01,45,0
31.72,79.6,0.049,0.017,46,0
31.71,79.61,0.006,-0.004,47,0
31.7,79.6,-0.006,-0.014,48,0
31.68,79.51,-0.091,-0.02,49,0
31.64,79.37,-0.146,-0.035,50,0
31.64,79.45,0.084,-0.008,51,0
31.59,79.32,-0.132,-0.043,52,0
31.62,79.14,-0.177,0.028,53,0
31.64,78.97,-0.17,0.02,54,0
31.67,79.02,0.051,0.032,55,0
31.65,78.83,-0.189,-0.023,56,0
